url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=107992193,정상,Normal,44.0,0.0389,정상,Normal,53.59,0.1288
https://prod.danawa.com/info/?pcode=70001708,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=122619701,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=106758077,정상,Normal,47.92,0.0888,정상,Normal,54.27,0.1307
https://prod.danawa.com/info/?pcode=96985349,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=47489273,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=122626369,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=60321443,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=102489542,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=49164173,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=60418556,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=106716974,정상,Normal,46.85,0.0781,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=93701885,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=108352157,정상,Normal,46.88,0.0784,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=94205543,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=108419612,정상,Normal,47.92,0.0888,정상,Normal,54.27,0.1307
https://prod.danawa.com/info/?pcode=106758623,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=122618398,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=65305349,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=20260748,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=65302250,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=103451588,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=122643438,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=76509134,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=105182165,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
https://prod.danawa.com/info/?pcode=46099295,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
